Add:         001607A Bypass Cereb Vent to Subgaleal with Autol Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Open Approach
Add:         00160JA Bypass Cereb Vent to Subgaleal with Synth Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Open Approach
Delete:      047D0Z6 Dilation of Left Common Iliac Artery, Bifurc, Open Approach  Dilation of Left Common Iliac Artery, Bifurcation, Open Approach
Delete:      047D346 Dilate L Com Iliac Art, Bifurc, w Drug-elut, Perc            Dilation of Left Common Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      047D356 Dilate L Com Iliac Art, Bifurc, w 2 Drug-elut, Perc          Dilation of Left Common Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047D366 Dilate L Com Iliac Art, Bifurc, w 3 Drug-elut, Perc          Dilation of Left Common Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047D376 Dilate L Com Iliac Art, Bifurc, w 4 Drug-elut, Perc          Dilation of Left Common Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047D3D6 Dilate L Com Iliac Art, Bifurc, w Intralum Dev, Perc         Dilation of Left Common Iliac Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      047D3E6 Dilate L Com Iliac Art, Bifurc, w 2 Intralum Dev, Perc       Dilation of Left Common Iliac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      047D3F6 Dilate L Com Iliac Art, Bifurc, w 3 Intralum Dev, Perc       Dilation of Left Common Iliac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      047D3G6 Dilate L Com Iliac Art, Bifurc, w 4+ Intralum Dev, Perc      Dilation of Left Common Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      047D3Z6 Dilation of Left Common Iliac Artery, Bifurc, Perc Approach  Dilation of Left Common Iliac Artery, Bifurcation, Percutaneous Approach
Delete:      047D446 Dilate L Com Iliac Art, Bifurc, w Drug-elut, Perc Endo       Dilation of Left Common Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047D456 Dilate L Com Iliac Art, Bifurc, w 2 Drug-elut, Perc Endo     Dilation of Left Common Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047D466 Dilate L Com Iliac Art, Bifurc, w 3 Drug-elut, Perc Endo     Dilation of Left Common Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047D476 Dilate L Com Iliac Art, Bifurc, w 4 Drug-elut, Perc Endo     Dilation of Left Common Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047D4D6 Dilate L Com Iliac Art, Bifurc, w Intralum Dev, Perc Endo    Dilation of Left Common Iliac Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047D4E6 Dilate L Com Iliac Art, Bifurc, w 2 Intralum Dev, Perc Endo  Dilation of Left Common Iliac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047D4F6 Dilate L Com Iliac Art, Bifurc, w 3 Intralum Dev, Perc Endo  Dilation of Left Common Iliac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047D4G6 Dilate L Com Iliac Art, Bifurc, w 4+ Intralum Dev, Perc Endo Dilation of Left Common Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047D4Z6 Dilation of L Com Iliac Art, Bifurc, Perc Endo Approach      Dilation of Left Common Iliac Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      047E046 Dilate R Int Iliac Art, Bifurc, w Drug-elut, Open            Dilation of Right Internal Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      047E056 Dilate R Int Iliac Art, Bifurc, w 2 Drug-elut, Open          Dilation of Right Internal Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      047E066 Dilate R Int Iliac Art, Bifurc, w 3 Drug-elut, Open          Dilation of Right Internal Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      047E076 Dilate R Int Iliac Art, Bifurc, w 4 Drug-elut, Open          Dilation of Right Internal Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      047E0D6 Dilate R Int Iliac Art, Bifurc, w Intralum Dev, Open         Dilation of Right Internal Iliac Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      047E0E6 Dilate R Int Iliac Art, Bifurc, w 2 Intralum Dev, Open       Dilation of Right Internal Iliac Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      047E0F6 Dilate R Int Iliac Art, Bifurc, w 3 Intralum Dev, Open       Dilation of Right Internal Iliac Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      047E0G6 Dilate R Int Iliac Art, Bifurc, w 4+ Intralum Dev, Open      Dilation of Right Internal Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      047E0Z6 Dilation of R Int Iliac Art, Bifurc, Open Approach           Dilation of Right Internal Iliac Artery, Bifurcation, Open Approach
Delete:      047E346 Dilate R Int Iliac Art, Bifurc, w Drug-elut, Perc            Dilation of Right Internal Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      047E356 Dilate R Int Iliac Art, Bifurc, w 2 Drug-elut, Perc          Dilation of Right Internal Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047E366 Dilate R Int Iliac Art, Bifurc, w 3 Drug-elut, Perc          Dilation of Right Internal Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047E376 Dilate R Int Iliac Art, Bifurc, w 4 Drug-elut, Perc          Dilation of Right Internal Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047E3D6 Dilate R Int Iliac Art, Bifurc, w Intralum Dev, Perc         Dilation of Right Internal Iliac Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      047E3E6 Dilate R Int Iliac Art, Bifurc, w 2 Intralum Dev, Perc       Dilation of Right Internal Iliac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      047E3F6 Dilate R Int Iliac Art, Bifurc, w 3 Intralum Dev, Perc       Dilation of Right Internal Iliac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      047E3G6 Dilate R Int Iliac Art, Bifurc, w 4+ Intralum Dev, Perc      Dilation of Right Internal Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      047E3Z6 Dilation of R Int Iliac Art, Bifurc, Perc Approach           Dilation of Right Internal Iliac Artery, Bifurcation, Percutaneous Approach
Delete:      047E446 Dilate R Int Iliac Art, Bifurc, w Drug-elut, Perc Endo       Dilation of Right Internal Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047E456 Dilate R Int Iliac Art, Bifurc, w 2 Drug-elut, Perc Endo     Dilation of Right Internal Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047E466 Dilate R Int Iliac Art, Bifurc, w 3 Drug-elut, Perc Endo     Dilation of Right Internal Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047E476 Dilate R Int Iliac Art, Bifurc, w 4 Drug-elut, Perc Endo     Dilation of Right Internal Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047E4D6 Dilate R Int Iliac Art, Bifurc, w Intralum Dev, Perc Endo    Dilation of Right Internal Iliac Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047E4E6 Dilate R Int Iliac Art, Bifurc, w 2 Intralum Dev, Perc Endo  Dilation of Right Internal Iliac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047E4F6 Dilate R Int Iliac Art, Bifurc, w 3 Intralum Dev, Perc Endo  Dilation of Right Internal Iliac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047E4G6 Dilate R Int Iliac Art, Bifurc, w 4+ Intralum Dev, Perc Endo Dilation of Right Internal Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047E4Z6 Dilation of R Int Iliac Art, Bifurc, Perc Endo Approach      Dilation of Right Internal Iliac Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      047F046 Dilate L Int Iliac Art, Bifurc, w Drug-elut, Open            Dilation of Left Internal Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      047F056 Dilate L Int Iliac Art, Bifurc, w 2 Drug-elut, Open          Dilation of Left Internal Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      047F066 Dilate L Int Iliac Art, Bifurc, w 3 Drug-elut, Open          Dilation of Left Internal Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      047F076 Dilate L Int Iliac Art, Bifurc, w 4 Drug-elut, Open          Dilation of Left Internal Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      047F0D6 Dilate L Int Iliac Art, Bifurc, w Intralum Dev, Open         Dilation of Left Internal Iliac Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      047F0E6 Dilate L Int Iliac Art, Bifurc, w 2 Intralum Dev, Open       Dilation of Left Internal Iliac Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      047F0F6 Dilate L Int Iliac Art, Bifurc, w 3 Intralum Dev, Open       Dilation of Left Internal Iliac Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      047F0G6 Dilate L Int Iliac Art, Bifurc, w 4+ Intralum Dev, Open      Dilation of Left Internal Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      047F0Z6 Dilation of L Int Iliac Art, Bifurc, Open Approach           Dilation of Left Internal Iliac Artery, Bifurcation, Open Approach
Delete:      047F346 Dilate L Int Iliac Art, Bifurc, w Drug-elut, Perc            Dilation of Left Internal Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      047F356 Dilate L Int Iliac Art, Bifurc, w 2 Drug-elut, Perc          Dilation of Left Internal Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047F366 Dilate L Int Iliac Art, Bifurc, w 3 Drug-elut, Perc          Dilation of Left Internal Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047F376 Dilate L Int Iliac Art, Bifurc, w 4 Drug-elut, Perc          Dilation of Left Internal Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047F3D6 Dilate L Int Iliac Art, Bifurc, w Intralum Dev, Perc         Dilation of Left Internal Iliac Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      047F3E6 Dilate L Int Iliac Art, Bifurc, w 2 Intralum Dev, Perc       Dilation of Left Internal Iliac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      047F3F6 Dilate L Int Iliac Art, Bifurc, w 3 Intralum Dev, Perc       Dilation of Left Internal Iliac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      047F3G6 Dilate L Int Iliac Art, Bifurc, w 4+ Intralum Dev, Perc      Dilation of Left Internal Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      047F3Z6 Dilation of L Int Iliac Art, Bifurc, Perc Approach           Dilation of Left Internal Iliac Artery, Bifurcation, Percutaneous Approach
Delete:      047F446 Dilate L Int Iliac Art, Bifurc, w Drug-elut, Perc Endo       Dilation of Left Internal Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047F456 Dilate L Int Iliac Art, Bifurc, w 2 Drug-elut, Perc Endo     Dilation of Left Internal Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047F466 Dilate L Int Iliac Art, Bifurc, w 3 Drug-elut, Perc Endo     Dilation of Left Internal Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047F476 Dilate L Int Iliac Art, Bifurc, w 4 Drug-elut, Perc Endo     Dilation of Left Internal Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047F4D6 Dilate L Int Iliac Art, Bifurc, w Intralum Dev, Perc Endo    Dilation of Left Internal Iliac Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047F4E6 Dilate L Int Iliac Art, Bifurc, w 2 Intralum Dev, Perc Endo  Dilation of Left Internal Iliac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047F4F6 Dilate L Int Iliac Art, Bifurc, w 3 Intralum Dev, Perc Endo  Dilation of Left Internal Iliac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047F4G6 Dilate L Int Iliac Art, Bifurc, w 4+ Intralum Dev, Perc Endo Dilation of Left Internal Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047F4Z6 Dilation of L Int Iliac Art, Bifurc, Perc Endo Approach      Dilation of Left Internal Iliac Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      047H046 Dilate R Ext Iliac Art, Bifurc, w Drug-elut, Open            Dilation of Right External Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      047H056 Dilate R Ext Iliac Art, Bifurc, w 2 Drug-elut, Open          Dilation of Right External Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      047H066 Dilate R Ext Iliac Art, Bifurc, w 3 Drug-elut, Open          Dilation of Right External Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      047H076 Dilate R Ext Iliac Art, Bifurc, w 4 Drug-elut, Open          Dilation of Right External Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      047H0D6 Dilate R Ext Iliac Art, Bifurc, w Intralum Dev, Open         Dilation of Right External Iliac Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      047H0E6 Dilate R Ext Iliac Art, Bifurc, w 2 Intralum Dev, Open       Dilation of Right External Iliac Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      047H0F6 Dilate R Ext Iliac Art, Bifurc, w 3 Intralum Dev, Open       Dilation of Right External Iliac Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      047H0G6 Dilate R Ext Iliac Art, Bifurc, w 4+ Intralum Dev, Open      Dilation of Right External Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      047H0Z6 Dilation of R Ext Iliac Art, Bifurc, Open Approach           Dilation of Right External Iliac Artery, Bifurcation, Open Approach
Delete:      047H346 Dilate R Ext Iliac Art, Bifurc, w Drug-elut, Perc            Dilation of Right External Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      047H356 Dilate R Ext Iliac Art, Bifurc, w 2 Drug-elut, Perc          Dilation of Right External Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047H366 Dilate R Ext Iliac Art, Bifurc, w 3 Drug-elut, Perc          Dilation of Right External Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047H376 Dilate R Ext Iliac Art, Bifurc, w 4 Drug-elut, Perc          Dilation of Right External Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047H3D6 Dilate R Ext Iliac Art, Bifurc, w Intralum Dev, Perc         Dilation of Right External Iliac Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      047H3E6 Dilate R Ext Iliac Art, Bifurc, w 2 Intralum Dev, Perc       Dilation of Right External Iliac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      047H3F6 Dilate R Ext Iliac Art, Bifurc, w 3 Intralum Dev, Perc       Dilation of Right External Iliac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      047H3G6 Dilate R Ext Iliac Art, Bifurc, w 4+ Intralum Dev, Perc      Dilation of Right External Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      047H3Z6 Dilation of R Ext Iliac Art, Bifurc, Perc Approach           Dilation of Right External Iliac Artery, Bifurcation, Percutaneous Approach
Delete:      047H446 Dilate R Ext Iliac Art, Bifurc, w Drug-elut, Perc Endo       Dilation of Right External Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047H456 Dilate R Ext Iliac Art, Bifurc, w 2 Drug-elut, Perc Endo     Dilation of Right External Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047H466 Dilate R Ext Iliac Art, Bifurc, w 3 Drug-elut, Perc Endo     Dilation of Right External Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047H476 Dilate R Ext Iliac Art, Bifurc, w 4 Drug-elut, Perc Endo     Dilation of Right External Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047H4D6 Dilate R Ext Iliac Art, Bifurc, w Intralum Dev, Perc Endo    Dilation of Right External Iliac Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047H4E6 Dilate R Ext Iliac Art, Bifurc, w 2 Intralum Dev, Perc Endo  Dilation of Right External Iliac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047H4F6 Dilate R Ext Iliac Art, Bifurc, w 3 Intralum Dev, Perc Endo  Dilation of Right External Iliac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047H4G6 Dilate R Ext Iliac Art, Bifurc, w 4+ Intralum Dev, Perc Endo Dilation of Right External Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047H4Z6 Dilation of R Ext Iliac Art, Bifurc, Perc Endo Approach      Dilation of Right External Iliac Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      047J046 Dilate L Ext Iliac Art, Bifurc, w Drug-elut, Open            Dilation of Left External Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      047J056 Dilate L Ext Iliac Art, Bifurc, w 2 Drug-elut, Open          Dilation of Left External Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      047J066 Dilate L Ext Iliac Art, Bifurc, w 3 Drug-elut, Open          Dilation of Left External Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      047J076 Dilate L Ext Iliac Art, Bifurc, w 4 Drug-elut, Open          Dilation of Left External Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      047J0D6 Dilate L Ext Iliac Art, Bifurc, w Intralum Dev, Open         Dilation of Left External Iliac Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      047J0E6 Dilate L Ext Iliac Art, Bifurc, w 2 Intralum Dev, Open       Dilation of Left External Iliac Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      047J0F6 Dilate L Ext Iliac Art, Bifurc, w 3 Intralum Dev, Open       Dilation of Left External Iliac Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      047J0G6 Dilate L Ext Iliac Art, Bifurc, w 4+ Intralum Dev, Open      Dilation of Left External Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      047J0Z6 Dilation of L Ext Iliac Art, Bifurc, Open Approach           Dilation of Left External Iliac Artery, Bifurcation, Open Approach
Delete:      047J346 Dilate L Ext Iliac Art, Bifurc, w Drug-elut, Perc            Dilation of Left External Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      047J356 Dilate L Ext Iliac Art, Bifurc, w 2 Drug-elut, Perc          Dilation of Left External Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047J366 Dilate L Ext Iliac Art, Bifurc, w 3 Drug-elut, Perc          Dilation of Left External Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047J376 Dilate L Ext Iliac Art, Bifurc, w 4 Drug-elut, Perc          Dilation of Left External Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047J3D6 Dilate L Ext Iliac Art, Bifurc, w Intralum Dev, Perc         Dilation of Left External Iliac Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      047J3E6 Dilate L Ext Iliac Art, Bifurc, w 2 Intralum Dev, Perc       Dilation of Left External Iliac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      047J3F6 Dilate L Ext Iliac Art, Bifurc, w 3 Intralum Dev, Perc       Dilation of Left External Iliac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      047J3G6 Dilate L Ext Iliac Art, Bifurc, w 4+ Intralum Dev, Perc      Dilation of Left External Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      047J3Z6 Dilation of L Ext Iliac Art, Bifurc, Perc Approach           Dilation of Left External Iliac Artery, Bifurcation, Percutaneous Approach
Delete:      047J446 Dilate L Ext Iliac Art, Bifurc, w Drug-elut, Perc Endo       Dilation of Left External Iliac Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047J456 Dilate L Ext Iliac Art, Bifurc, w 2 Drug-elut, Perc Endo     Dilation of Left External Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047J466 Dilate L Ext Iliac Art, Bifurc, w 3 Drug-elut, Perc Endo     Dilation of Left External Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047J476 Dilate L Ext Iliac Art, Bifurc, w 4 Drug-elut, Perc Endo     Dilation of Left External Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047J4D6 Dilate L Ext Iliac Art, Bifurc, w Intralum Dev, Perc Endo    Dilation of Left External Iliac Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047J4E6 Dilate L Ext Iliac Art, Bifurc, w 2 Intralum Dev, Perc Endo  Dilation of Left External Iliac Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047J4F6 Dilate L Ext Iliac Art, Bifurc, w 3 Intralum Dev, Perc Endo  Dilation of Left External Iliac Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047J4G6 Dilate L Ext Iliac Art, Bifurc, w 4+ Intralum Dev, Perc Endo Dilation of Left External Iliac Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047J4Z6 Dilation of L Ext Iliac Art, Bifurc, Perc Endo Approach      Dilation of Left External Iliac Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      047K046 Dilation of R Fem Art, Bifurc, with Drug-elut, Open Approach Dilation of Right Femoral Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      047K056 Dilate of R Fem Art, Bifurc, with 2 Drug-elut, Open Approach Dilation of Right Femoral Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      047K066 Dilate of R Fem Art, Bifurc, with 3 Drug-elut, Open Approach Dilation of Right Femoral Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      047K076 Dilate of R Fem Art, Bifurc, with 4 Drug-elut, Open Approach Dilation of Right Femoral Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      047K0D6 Dilate R Fem Art, Bifurc, w Intralum Dev, Open               Dilation of Right Femoral Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      047K0E6 Dilate R Fem Art, Bifurc, w 2 Intralum Dev, Open             Dilation of Right Femoral Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      047K0F6 Dilate R Fem Art, Bifurc, w 3 Intralum Dev, Open             Dilation of Right Femoral Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      047K0G6 Dilate R Fem Art, Bifurc, w 4+ Intralum Dev, Open            Dilation of Right Femoral Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      047K0Z6 Dilation of Right Femoral Artery, Bifurcation, Open Approach Dilation of Right Femoral Artery, Bifurcation, Open Approach
Delete:      047K346 Dilation of R Fem Art, Bifurc, with Drug-elut, Perc Approach Dilation of Right Femoral Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      047K356 Dilate of R Fem Art, Bifurc, with 2 Drug-elut, Perc Approach Dilation of Right Femoral Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047K366 Dilate of R Fem Art, Bifurc, with 3 Drug-elut, Perc Approach Dilation of Right Femoral Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047K376 Dilate of R Fem Art, Bifurc, with 4 Drug-elut, Perc Approach Dilation of Right Femoral Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047K3D6 Dilate R Fem Art, Bifurc, w Intralum Dev, Perc               Dilation of Right Femoral Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      047K3E6 Dilate R Fem Art, Bifurc, w 2 Intralum Dev, Perc             Dilation of Right Femoral Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      047K3F6 Dilate R Fem Art, Bifurc, w 3 Intralum Dev, Perc             Dilation of Right Femoral Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      047K3G6 Dilate R Fem Art, Bifurc, w 4+ Intralum Dev, Perc            Dilation of Right Femoral Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      047K3Z6 Dilation of Right Femoral Artery, Bifurcation, Perc Approach Dilation of Right Femoral Artery, Bifurcation, Percutaneous Approach
Delete:      047K446 Dilate R Fem Art, Bifurc, w Drug-elut, Perc Endo             Dilation of Right Femoral Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047K456 Dilate R Fem Art, Bifurc, w 2 Drug-elut, Perc Endo           Dilation of Right Femoral Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
